model,DTW,MAE,MSE,MAPE,RMSE,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_1_output_shape,layer_2_output_shape,layer_3_output_shape,layer_4_output_shape,layer_5_output_shape,layer_6_output_shape,layer_7_output_shape,layer_8_output_shape,layer_9_output_shape,layer_10_output_shape,layer_11,layer_11_output_shape
AutoEncoder_Experiments,3.011590192787628,0.056889984922183875,0.005280644418537452,5.688998492218387,0.07266804262216958,input_1,dense,dense_1,dense_2,dense_3,,,,,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 3000)","(None, 5760)",,,,,,,
AutoEncoder_Experiments,2.632547919409965,0.0539031037632598,0.004727595437189439,5.3903103763259805,0.06875751186008289,input_1,dense,dense_1,dense_2,dense_3,,,,,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 3000)","(None, 5760)",,,,,,,
AutoEncoder_Experiments,3.318906976401548,0.058871574266098875,0.005656221833687536,5.887157426609888,0.07520785752624214,input_1,dense,dense_1,,,,,,,,"[(None, 5760)]","(None, 1000)","(None, 5760)",,,,,,,,,
AutoEncoder_Experiments,2.4223500059698604,0.05330836808955525,0.004617380210540595,5.330836808955525,0.0679513076440814,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,,,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,,,
AutoEncoder_Experiments,10.616240595398867,0.11634931711321098,0.02574301923995104,11.634931711321098,0.160446312640556,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 250)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,
AutoEncoder_Experiments,9.246048676873373,0.19616025895575745,0.049647296146464286,19.616025895575746,0.2228167321959109,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 250)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,
AutoEncoder_Experiments,6.976831485758193,0.09913928507093203,0.013450505438977384,9.913928507093203,0.11597631412912456,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 250)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,
AutoEncoder_Experiments,2.2690328806896365,0.05382176194760833,0.004705417097318405,5.382176194760833,0.0685960428692385,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 250)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,
AutoEncoder_Experiments,2.3182405943626088,0.053862006003576525,0.004707959433542477,5.386200600357653,0.06861457158317377,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 5760)]","(None, 3000)","(None, 1000)","(None, 500)","(None, 250)","(None, 500)","(None, 1000)","(None, 3000)","(None, 5760)",,,
AutoEncoder_Experiments,,0.036141538148051384,0.002163839780034287,3.614153814805138,0.04651709126798759,input_1,dense,dense_1,dense_2,dense_3,,,,,,"[(None, 288)]","(None, 210)","(None, 140)","(None, 210)","(None, 288)",,,,,,,
AutoEncoder_Experiments,,0.03553636982934502,0.002083556715891084,3.5536369829345023,0.04564599342648907,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,,,,"[(None, 288)]","(None, 210)","(None, 140)","(None, 70)","(None, 140)","(None, 210)","(None, 288)",,,,,
AutoEncoder_Experiments,,0.03865186043698123,0.0023966392834081822,3.8651860436981234,0.04895548266954562,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,,"[(None, 288)]","(None, 210)","(None, 140)","(None, 70)","(None, 35)","(None, 70)","(None, 140)","(None, 210)","(None, 288)",,,
AutoEncoder_Experiments,,0.03572256828762125,0.002086641092118303,3.5722568287621246,0.04567976676952613,input_1,dense,dense_1,dense_2,dense_3,dense_4,dense_5,dense_6,dense_7,dense_8,"[(None, 288)]","(None, 250)","(None, 210)","(None, 180)","(None, 140)","(None, 70)","(None, 140)","(None, 180)","(None, 210)","(None, 250)",dense_9,"(None, 288)"
AutoEncoder_Experiments,,0.12946862428829942,0.021878738841995742,12.946862428829943,0.14791463363033336,input_1,lstm,repeat_vector,lstm_1,time_distributed,,,,,,"[(None, 288, 1)]","(None, 140)","(None, 288, 140)","(None, 288, 140)","(None, 288, 1)",,,,,,,
AutoEncoder_Experiments,,0.02740854597830001,0.001306476977879221,2.740854597830001,0.036145220678247644,dense,,,,,,,,,,,,,,,,,,,,,
